canonical_alias_util.cpp	A	real (65 lines)	3467
canonical_json.cpp	A	real (224 lines)	7715
capabilities_utils.cpp	A	real (65 lines)	3413
chat_features.cpp	A	real (140 lines)	4569
chat_preview.cpp	A	real (303 lines)	11687
chat_tools.cpp	A	real (339 lines)	11948
chunked_upload.cpp	A	real (131 lines)	3756
client_info.cpp	A	real (116 lines)	3927
color_utils.cpp	A	real (171 lines)	5452
common_utils.cpp	A	real (65 lines)	3381
composer_manager.cpp	A	real (362 lines)	12587
config_loader.cpp	A	real (157 lines)	6681
connection_monitor.cpp	A	real (104 lines)	3284
contact_utils.cpp	C	size echo stub (2 json.size() calls, 5 lines)	501
content_builder.cpp	A	real (65 lines)	3450
content_builder_utils.cpp	C	broken header (19 garbage decls in content_builder_utils.hpp)	921
content_filter.cpp	A	real (94 lines)	2791
content_guard.cpp	A	real (274 lines)	9876
content_report_utils.cpp	A	real (168 lines)	7037
content_scanner.cpp	A	real (105 lines)	3621
content_text_utils.cpp	A	real (167 lines)	6443
content_utils.cpp	A	real (573 lines)	22321
content_warning_utils.cpp	C	size echo stub (2 json.size() calls, 5 lines)	503
crash_reporter.cpp	A	real (150 lines)	5962
create_room.cpp	A	real (202 lines)	7547
cross_sign_bootstrap.cpp	A	real (159 lines)	6472
cross_sign_utils.cpp	A	real (153 lines)	6533
cross_sign_v4.cpp	A	real (830 lines)	37121
cross_signing.cpp	A	real (116 lines)	4958
cross_signing_manager.cpp	A	real (342 lines)	12488
cross_signing_status.cpp	A	real (159 lines)	6465
crypto_algorithms.cpp	A	real (166 lines)	5704
crypto_device_utils.cpp	C	broken header (9 garbage decls in crypto_device_utils.hpp)	672
crypto_init_utils.cpp	A	real (159 lines)	6453
crypto_models.cpp	A	real (197 lines)	6967
crypto_ops.cpp	B	auto-generated template header	34017
crypto_utils_v2.cpp	A	real (58 lines)	1185
custom_emoji_utils.cpp	A	real (98 lines)	4209
custom_status.cpp	A	real (165 lines)	6888
date_utils.cpp	A	real (197 lines)	5992
debug_service.cpp	A	real (113 lines)	4184
decryptor_utils.cpp	A	real (329 lines)	11721
deeplink_parser.cpp	A	real (198 lines)	8790
dehydrate_utils.cpp	A	real (153 lines)	6560
deleted_archive.cpp	A	real (71 lines)	2256
desync_detector.cpp	A	real (257 lines)	9271
device_list_v4.cpp	A	real (830 lines)	37122
device_manager.cpp	A	real (252 lines)	9496
device_manager_full.cpp	A	real (445 lines)	17320
device_naming.cpp	A	real (390 lines)	15218
device_naming_helper.cpp	C	broken header (11 garbage decls in device_naming_helper.hpp)	958
device_rename_utils.cpp	A	real (73 lines)	3161
device_trust.cpp	C	broken header (3 garbage decls in device_trust.hpp)	914
device_verif.cpp	A	real (499 lines)	29181
device_verifier.cpp	A	real (172 lines)	7292
direct_message_utils.cpp	A	real (4 lines)	291
dispatch_manager.cpp	A	real (144 lines)	5924
display_name_utils.cpp	A	real (113 lines)	4686
displayname_utils.cpp	A	real (240 lines)	7907
draft_manager.cpp	A	real (137 lines)	4574
draft_manager_full.cpp	A	real (206 lines)	6456
draft_manager_utils.cpp	C	broken header (3 garbage decls in draft_manager_utils.hpp)	917
e2ee_decor_v4.cpp	A	real (613 lines)	25731
e2ee_decoration.cpp	A	real (226 lines)	8406
e2ee_manager.cpp	B	auto-generated template header	18770
e2ee_utils.cpp	A	real (84 lines)	2756
edit_history.cpp	A	real (196 lines)	6638
email_utils.cpp	C	size echo stub (4 json.size() calls, 7 lines)	891
emoji_analyzer.cpp	A	real (137 lines)	4742
emoji_reaction_picker.cpp	C	size echo stub (4 json.size() calls, 7 lines)	901
emoji_search.cpp	A	real (159 lines)	6453
emoji_sticker.cpp	A	real (172 lines)	7223
emoji_utils.cpp	C	size echo stub (4 json.size() calls, 7 lines)	893
encrypted_file.cpp	A	real (179 lines)	6207
encryption_key_backup.cpp	A	real (152 lines)	6126
encryption_key_utils.cpp	C	broken header (4 garbage decls in encryption_key_utils.hpp)	733
encryption_status.cpp	C	size echo stub (4 json.size() calls, 7 lines)	883
encryption_status_formatter.cpp	A	real (40 lines)	1752
encryption_verify_utils.cpp	A	real (168 lines)	6840
event_age_utils.cpp	C	size echo stub (3 json.size() calls, 6 lines)	678
event_aggregation_utils.cpp	C	broken header (15 garbage decls in event_aggregation_utils.hpp)	479
event_batcher.cpp	A	real (137 lines)	5578
event_builder.cpp	B	auto-generated template header	18733
event_classifier.cpp	A	real (221 lines)	11083
event_content_utils.cpp	A	real (165 lines)	7643
event_context_builder.cpp	C	size echo stub (4 json.size() calls, 7 lines)	899
event_context_utils.cpp	A	real (23 lines)	1049
event_delivery_utils.cpp	A	real (4 lines)	287
event_display.cpp	A	real (174 lines)	7605
event_display_formatter.cpp	C	broken header (7 garbage decls in event_display_formatter.hpp)	939
event_encryption.cpp	A	real (147 lines)	5108
event_encryption_helper.cpp	A	real (44 lines)	1693
event_filter_utils.cpp	C	broken header (11 garbage decls in event_filter_utils.hpp)	486
event_forward_utils.cpp	A	real (57 lines)	2253
event_hash_utils.cpp	A	real (99 lines)	4089
event_highlight_display.cpp	A	real (103 lines)	4005
event_highlight_utils.cpp	C	broken header (9 garbage decls in event_highlight_utils.hpp)	0
event_id_utils.cpp	A	real (50 lines)	1487
event_link.cpp	A	real (119 lines)	3871
event_models.cpp	A	real (401 lines)	15453
event_origin_utils.cpp	A	real (119 lines)	5301
event_pagination.cpp	A	real (72 lines)	2604
event_receipt_utils.cpp	C	broken header (7 garbage decls in event_receipt_utils.hpp)	698
event_redaction.cpp	C	broken header (7 garbage decls in event_redaction.hpp)	712
event_relations.cpp	A	real (253 lines)	9069
